question,A,B,C,D,E,answer
分布于上肢外侧后面的经脉是____,小肠经,膀胱经,胃经,三焦经,大肠经,A
心经与下列何经相表里____,脾经,大肠经,小肠,三焦,肾,C
按十二经脉的流注次序，小肠经流注于____,膀胱经,胆经,三焦经,心经,胃经,A
手三阳经的循行走向是____,从胸走手,从腹走手,从手走头,从头走足,从足走腹,C
足厥阴肝经与足太阴脾经循行交叉变换前中位置，是在____,外踝上8寸处,内踝上2寸处,内踝上3寸处,内踝上5寸处,内踝上8寸处,E
手少阳三焦经与足少阳胆经的交接部位是____,目内眦,目外眦,鼻旁,足大趾内端,足大趾外端,B
十二经脉的交接中，阴经与阳经交接的部位是____,腹部,胸部,头部,手足末端,下肢部,D
任脉的生理作用主要是____,通调冲、任,调节任、督,总调奇经八脉,调节阴经经气,总调冲、任、督、带,D
督脉的生理作用主要是____,调节阳经经气,调节督脉、任脉,调节冲、任、督、带,总调奇经八脉,总调冲、任、督脉,A
被称为“十二经之海”的经脉是____,跷脉,维脉,冲脉,任脉,督脉,C
经络学说中的“血海”，指的是____,足阳明胃经,督脉,冲脉,任脉,足太阴脾经,C
在奇经八脉中，治疗多眠，常选用____,阴维脉,阳维脉,冲脉,阴跷脉,阳跷脉,D
下列除哪项外，均为十五脉络的分布特点____,十二经的别络走向相表里的经脉,十二经的别络从本经四肢肘膝关节以下的络穴分出,向心性循环,任脉别络从鸠尾分出后散布于腹部,督脉别络从长强分出后散布于头,C
十二经筋是指____,经络系统中能够联结筋肉、骨骼的部分,联属于十二正经，行于体表不入内脏的一部分经脉,十二经脉之气结聚散络于筋肉关节的体系,能够保持人体正常运动功能部分的经脉,经脉中与肌肉系统关系较密切的部分,C
经络学说的临床应用正确的是____,指导辨证归经、针灸治疗,指导辨证论治,指导临床用药,指导用药剂量,指导辨别病变部位,A
腧穴可分为哪三大类____,经穴，奇穴，阿是穴,经穴，奇穴，特定穴,十二经穴，经外奇穴，阿是穴,经穴，络穴，奇穴,经穴，络穴，阿是穴,A
属于经外奇穴的是____,八风,四白,环跳,期门,神庭,A
针刺睛明、承泣、四白治疗眼疾属于腧穴的____,远治作用,近治作用,特殊作用,抗御病邪作用,运行气血作用,B
针刺合谷穴治疗颈部和头部疾病属于腧穴的____,远治作用,近治作用,特殊作用,抗御病邪作用,运行气血作用,A
针刺足三里既能治疗腹泻又能治疗便秘是腧穴的____,远治作用,近治作用,双向调节作用,抗御病邪作用,运行气血作用,C
足三阴经腧穴主治相同的病证是____,胃肠病,咽喉病,头面病,阴病,耳病,D
以下不是特定穴的是____,五输穴,阿是穴,原穴,络穴,俞穴,B
治疗表里经疾病，络穴常与什么穴配伍____,郄穴,原穴,俞穴,募穴,合穴,B
脏腑之气汇聚于胸腹部的腧穴是____,原穴,络穴,八会穴,背俞穴,募穴,E
八会穴是指哪些精气所会聚的腧穴____,气、血、脑、髓、筋、脉、胆、女子胞,脏、腑、经、脉、气、血、阴、阳,脏、腑、气、血、筋、脉、骨、髓,气、血、脑、髓、津、神、脉、络,脑、髓、脏、腑、脉、胆、筋、骨,C
下列特性穴中，治疗急性病症应首先选用____,原穴,俞穴,八会穴,八脉交会穴,郄穴,E
身热多取五腧穴中的____,井穴,荥穴,输穴,经穴,合穴,B
八脉交会穴与阳跷脉相通的经穴是____,列缺,外关,后溪,照海,申脉,E
根据“子母补泻法”，肾经实证应取____,阴谷,复溜,然谷,太溪,涌泉,E
患儿，女，10岁。阵发性右上腹绞痛，伴恶心呕吐，腹部平软。用特定穴治疗，应首选____,原穴,络穴,背俞穴,郄穴,下合穴,D
前两额发角之间的骨度分寸是____,9寸,8寸,12寸,13寸,16寸,A
下列骨度分寸错误的是____,每一肋骨间折作1.4寸,第11肋端至股骨大转子为9寸,左右缺盆穴之间的宽度是8寸,歧骨至横骨上廉为13寸,腋以下至季胁作12寸,A
与冲脉交会最多的经脉是____,任脉,阴维脉,足阳明胃经,足少阴肾经,足厥阴肝经,D
足阳明胃经的主干经止于____,足大趾,足次趾,足中趾,足四趾,足小趾,B
有关复溜穴的内容，错误的是____,主治热病汗出不止,足少阴经经穴,主治热病无汗,孕妇禁用,五行属金,C
在三角窝后1/3上部的耳穴是____,神门,交感,肾上腺,皮质下,内生殖器,A
治疗血热内扰型崩漏，除针刺主穴外，还可加用____,脾俞、足三里,行间、血海,肾俞、太溪,中脘、足三里,丰隆、阴陵泉,B
治疗痄腮常用____,直接灸,温针灸,灯火灸,间接灸,天灸,C
下列经脉排列中，没有按照十二经脉流注的次序的是____,大肠经、胃经、脾经,心经、小肠经、肾经,胆经、肝经、肺经,肾经、心包经、三焦经,三焦经、胆经、肝经,B
针灸治疗急惊风的主穴方是____,大椎、神门、命门,印堂、行间、合谷,百会、气海、足三里,百会、神门、命门,太冲、水沟、合谷、印堂,E
痄腮症见高热者在基本方的基础上加____,人中、十宣,内关、太冲,大椎、商阳,曲泉、人中,太冲、曲泉,C
足少阳胆经位于小腿部的穴位，在腓骨后缘的是____,阳交、光明,阳交、外丘,外丘、光明,光明、悬钟,以上都不对,E
足少阴经“出于然骨之下”的“然骨”指的是____,趾骨,跗骨,趾骨底,趾跗关节,舟骨粗隆,E
感冒、风疹首选穴为____,上星,百会,大椎,身柱,风府,C
在足舟骨粗隆下缘凹陷处的穴位是____,公孙,京骨,然谷,冲阳,太白,C
具有调节肢体运动和司眼睑开合功能的经脉是____,任脉与督脉,阴维脉与阳维脉,阴跷脉与阳跷脉,足少阳经与足厥阴肝经,足太阳膀胱经,C
行痹的治疗除在病变局部选穴外，可再加____,膈俞、血海,阴陵泉、足三里,大椎、曲池,肾俞、关元,风池、百会,A
关于中医学“证”的正确表述是____,疾病所表现的症状及体征,对疾病症状与体征的调查过程,对疾病症状与体征的分析过程,疾病过程中某一阶段的病理概括,阴阳失调的具体表现,D
中医诊治疾病主要根据的是____,疾病,症状,体征,证候,病因,D
“阴亢者胜之以阳”说明阴阳之间的关系是____,对立制约,互根互用,相互交感,消长平衡,相互转化,A
阴阳属性的相对性主要表现是____,重阴必阳，重阳必阴,阴中求阳，阳中求阴,阴中有阳，阳中有阴,阴转化为阳，阳转化为阴,阴阳相互转化和无限可分,E
五脏分阴阳，肺的阴阳属性是____,阳中之阳,阳中之阴,阴中之阳,阴中之阴,阴中之至阴,B
四时阴阳的消长变化，从冬至到立春所属的是____,阴消阳长,重阴必阳,阴长阳消,重阳必阴,由阳转阴,A
“阴平阳秘，精神乃治”依据的阴阳关系是____,相互转化,互根互用,消长平衡,对立制约,交感互藏,D
用阴阳学说来说明人体的组织结构，下列说法不准确的是____,内为阴，外为阳,背为阴，腹为阳,五脏属阴，六腑属阳,下部为阴，上部为阳,心肺属阳，肝脾肾属阴,B
下列关于五行生克规律的表述，正确的是____,木为土之所胜,木为水之子,火为土之子,水为火之所胜,金为木之所胜,B
“泻南补北”法适用的病理变化是____,肾阴虚而相火妄动,心阴虚而心阳亢,肾阴虚而心火旺,肾阴虚而肝阳亢,肾阳虚而心火越,C
下列关于五行生克规律的叙述，错误的是____,木为水之子,火为土之母,木为金之所胜,水为土之所胜,木为土之所不胜,C
下列各项，属于相侮传变的是____,肺病及肾,肺病及心,肺病及肝,肺病及脾,肺病及胃,B
下列各项，属子病及母的是____,肝病及肾,肝病及肺,肝病及心,肝病及脾,肝病及胃,A
下列各项，属于“母病及子”的是____,心病及肾,脾病及肺,肝病及脾,心病及肝,肺病及心,B
脾为“气血生化之源”的理论基础是____,气能生血,人以水谷为本,脾主升清,脾能运化水谷,脾为后天之本,D
大怒主要影响的是____,呼吸功能,疏泄功能,藏精功能,气化功能,运化功能,B
下列各项，与观察心主血脉生理功能关系不密切的是____,面色,舌色,爪色,脉象,虚里,C
生理功能表现为气血互用关系的两脏是____,心与肺,肝与肾,肺与脾,脾与肝,肺与肝,A
称肾为“气之根”的主要依据是____,肾藏精,肾主水,肾主纳气,肾精化生元气,肾主化气行水,D
区别五脏、六腑、奇恒之腑的主要依据是____,解剖形态的差异,生理功能的差异,经脉络属的有无,所在部位的不同,阴阳属性的差异,B
天癸的产生主要取决于____,肾精的充盈,脾气的健运,肾阳的蒸化,肝血的充足,肾阴的滋养,A
五脏中有“娇脏”之称的是____,肝,心,脾,肺,肾,D
肺主行水所依赖的是____,主一身之气,司呼吸之气,宣发与肃降,主朝百脉,主治节,C
生理功能表现为气机升降的脏腑关系是____,心与肺,肺与肝,肝与脾,脾与肾,心与肾,C
具有“喜燥恶湿”特性的脏腑是____,肝,脾,胃,肾,肺,E
称为“决渎之官”的脏腑是____,膀胱,三焦,大肠,小肠,命门,B
脏腑关系中，“水火既济”指的是____,肝与肾,心与肾,肝与脾,肺与脾,肺与肝,B
水谷精微中的精粹部分所生成的气是____,元气,宗气,营气,卫气,中气,C
行于脉外的气是____,元气,宗气,营气,卫气,经气,D
清气与水谷之气结合所生成的是____,元气,宗气,营气,卫气,浊气,B
营气的作用主要是____,润泽肌肤,化生血液,温煦内脏,充养脑髓,化生神志,B
表现为与语言、声音、呼吸关系最为密切的是____,元气,肺气,宗气,中气,心气,C
与津液生成关系最密切的脏腑是____,脾、肾、小肠、三焦,脾、肝、肾、三焦,肺、肾、三焦、小肠,胃、脾、小肠、大肠,心、肾、小肠、膀胱,D
治疗大出血时，用益气固脱之法，其理论依据是____,气能生血,气能行血,气能摄血,血能载气,血能生气,C
津液化为汗液排出体外，主要依靠的是____,心主血脉,肺主宣发,肾主气化,肝主疏泄,脾主统摄,B
经络系统中，与脏腑有直接络属关系的是____,经脉,络脉,十五别络,十二经脉,奇经八脉,D
舌尖红而生点刺，往往提示____,心火炽盛,肝胆火盛,风热犯肺,胃肠热盛,肾阴虚火旺,A
舌嫩体胖而有齿痕属于____,气血两虚,阴虚内热,脾虚湿阻,邪热入营,痰热内阻,C
舌体强硬而苔厚腻属于____,痰蒙心神,湿阻心神,风痰阻络,心火亢盛,邪热炽盛,C
吐弄舌的主病是____,气血两虚,热扰心神,肝风内动,心脾有热,阴虚火旺,D
舌苔黄厚而腻，多为____,风寒表证,食滞,湿热,瘀血,津液亏虚,C
热渐盛而津渐伤在舌象上常有的变化是____,舌苔由白转黄,舌光无苔,舌苔由润变燥,舌苔由薄变厚,舌苔焦黑起裂,C
八纲作为辨证的主要内容，实际形成于____,《内经》,《伤寒论》,《景岳全书》,《医宗金鉴》,《伤寒质难》,A
表证最常见于____,太阳病证,上焦病证,皮肤浅表部位的病变,内伤杂病,外感病初期,E
有关表里证的说法中，不正确的是____,病位在皮毛、肌肉、经络、气血、息道者属表,病位在脏腑、精髓者属里,病位在经络有表里之分,病位在脏腑有表里之分,表证多见于外感病的初起阶段,A
病人先有恶寒发热，继而恶寒消失，反恶热，伴有口渴喜饮，舌红苔黄，脉洪数，证属____,表寒里热,风热犯肺,表里同病,寒证化热,表邪入里,E
热证的临床表现中，不正确的是____,发热或恶热,舌干少津,面赤或颧红,蜷卧喜静,大便燥结,D
辨寒热的意义是____,辨病因,辨病性,辨病位,辨邪正关系,辨标本缓急,B
下列属于寒证常见病因的是____,阳邪亢盛,暑邪亢盛,阴液亏损,阳气亏损,风热袭表,D
下列脉象阴证少见的是____,沉,迟,细,无力,滑,E
两颧潮红，见于____,虚阳上越,阳虚发热,阴虚内热,阳明实热,心火亢盛,C
阳虚与气虚的主要区别是____,有无神疲乏力,有无少气懒言,寒象是否明显,舌质是否淡嫩,小便是否清长,C
下列各项，不属于实证表现的是____,腹痛拒按,畏寒,恶寒,壮热,舌苔厚腻,B
“寒包火”证属于____,表实寒里虚热证,表实寒里实热证,表虚寒里实热证,表虚寒里虚热证,表里俱寒证,B
表虚，主要是指____,风热表虚证,伤风表虚证,有汗之表证,卫表不固证,太阳中风证,D
某些疾病容易出现证候真假的阶段是____,初期阶段,极期阶段,危重阶段,传变阶段,末期阶段,C
导致真实假虚的病因病机，错误的是____,热结胃肠,痰食壅积,湿热内蕴,瘀血停蓄,气机不畅,E
下列各项，不属于病性辨证内容的是____,辨六淫证候,辨津液证候,辨情志证候,辨卫气营血证,辨阴阳虚损证,D
最常见的风淫证候是____,咳嗽、咽痛,鼻塞、流涕,面浮、肢肿,恶风微热汗出、脉浮缓,眩晕，抽搐,D
阳虚可导致的病理变化，不包括的是____,气滞,血瘀,血热,水泛,痰饮,C
下列疼痛特点不属血瘀证的是____,刺痛,痛处固定不移,夜间疼痛加重,面色青紫,时轻时重,E
患者出现咳嗽气喘，痰多色白质稀，胸闷，证属____,饮停于心,饮停于肺,饮停于胸胁,饮停于肠胃,饮停于四肢,B
与气虚兼并的虚证，少见的是____,气虚髓亏,津气亏虚,气阴两虚,气血两虚,阳气亏虚,A
属于气滞临床表现的是____,面色萎黄,咽干盗汗,神疲乏力,舌淡胖,头胀痛多随情绪发生变化,E
血虚多见的脏腑是____,心和脾,肝和脾,心和肾,心和肝,脾和肾,D
大失血所致的气脱，称为____,阳气虚脱证,气不摄血证,亡阳证,血虚气脱证,气随血脱证,E
瘀血疼痛的特点是____,隐痛,窜痛,重痛,刺痛,胀痛,D
患者手足冷痛，月经延期，行经时少腹拘急疼痛，月经色紫暗有血块，脉沉弦迟，证属____,血瘀证,血寒证,血虚证,气滞血瘀证,血热证,B
血热证的表现不包括____,月经量多而色淡,身热面赤而发斑,肌肤生疮疖疔痈,温热病之血分证,迫血妄行而出血,A
饮停胸胁，症见胸胁饱满，咳嗽时牵引作痛，此属____,痰饮,支饮,悬饮,溢饮,腹水,C
津液亏虚证与燥证的区别是____,前为津亏，后为液脱,前属内燥，后属外燥,前属阴虚，后属血虚,前者伤津轻，后者伤津重,前者病势急，后者病势缓,B
心脉痹阻证中，若以心胸刺痛为特征的属于____,热郁心脉,瘀阻心脉,寒凝心脉,痰阻心脉,气滞心脉,B
下列各项，不属于脾病中常见症状的是____,腹胀腹痛,出血,浮肿,泄泻,恶心嗳气,E
胃脘冷痛喜按，吐清水，口淡不渴，舌淡嫩，脉沉迟无力，属于____,胃阳虚证,脾阳虚证,寒湿困脾证,寒滞胃肠证,食滞胃脘,A
但坐不得卧，卧则气逆属于____,肺胀咳喘或水气凌心,气血不足,肝风内动,肾不纳气,中气下陷,A
心气虚、心阳虚、心血虚、心阴虚四证的共同临床表现是____,心痛,心烦,失眠,健忘,心悸,E
下列各项，不属于痰蒙心神证表现的是____,神情痴呆,惊悸失眠,意识模糊,喃喃自语,举止失常,B
诊断心阴虚证，与心悸同见，最有意义的是____,头晕,面白,健忘,失眠,舌红少苔,E
痰火扰神证中，与神昏同见的是____,溲赤便秘,渴喜冷饮,舌红苔黄腻,高热抽搐,脉象细数,C
心气虚证与心阳虚证最主要的共见症状是____,面白神疲,脉细无力,舌质淡白,形寒肢冷,心悸气短,E
鉴别心阳虚证与心阳虚脱证最有意义的是____,是否面白神疲,有无肢厥脉微,是否舌质淡白,有无心悸怔忡,有无形寒肢冷,B
一般不会出现失眠的是____,心阳虚证,心血虚证,痰火扰神证,心阴虚证,心火亢盛证,A
患者咳嗽胸闷，痰多而稀，色白易咯，苔白腻，脉滑，辨证为____,燥邪犯肺,热邪壅肺,风寒犯肺,痰湿阻肺,肺气虚证,D
燥邪犯肺证与肺阴虚证的共同症状是____,微恶风寒,潮热盗汗,两颧潮红,干咳少痰,脉浮紧,D
风寒犯肺证与风热犯肺证的共同特点是____,咳嗽气喘,鼻流清涕,身痛无汗,咳痰稀白,咽喉肿痛,A
下列各项，不属于痰热壅肺表现的是____,咳痰黄稠,鼻流清涕,气喘息粗,吐脓血痰,溲赤便秘,B
下列各项，不是直接导致肺气上逆病因病机的是____,肾不纳气,肺失肃降,肺失宣发,外邪犯肺,痰饮停肺,A
对于鉴别燥邪犯肺证和肺阴虚证最有意义的是____,痰量的多少,咳痰的难易,有无口咽干燥,有无五心烦热,舌色的红淡,D
风水相搏证的临床表现不包括____,恶寒发热,起病急骤,头面眼睑先肿,形寒肢冷,脉象浮数,D
根据胁肋胃脘胀痛，暧气易怒，吞酸嘈杂，情绪抑郁，饮食减少，苔薄黄，脉弦等症，可考虑为____,肝火上炎证,肝脾不调证,肝胃不和证,胆郁痰扰证,肝郁气滞证,B
脾气虚、脾阳虚、脾气下陷证的共同症状是____,便溏肢倦,肢体困重,脘腹坠胀,肢体浮肿,舌淡而胖,A
脾气虚、脾虚气陷、脾不统血的共同症状是____,纳差乏力,久泄不止,畏寒肢冷,头晕目眩,月经过多,A
脾病虚证的基础证型是____,脾虚气陷证,脾阳虚证,脾胃气虚证,脾气虚证,脾不统血证,D
下列对鉴别寒湿困脾证与湿热蕴脾证最有意义的是____,有无脘腹痞胀,有无纳呆呕恶,黄疸鲜明或晦暗,是否腹胀便溏,是否肢体困重,C
湿热蕴脾证最少见的症状是____,犯恶欲吐,肢体困重,脘腹痞胀,黄色晦暗,身热不扬,D
下列各项，不属于肝火上炎证与肝阳上亢证相同临床表现的是____,面红目赤,头晕目眩,腰膝酸软,急躁易怒,脉弦,C
诊断肝血不足的主要症状依据是____,舌淡脉细,面色淡白,头晕目眩,心悸耳鸣,肢麻筋挛,E
下列各项，不属于肝郁气滞证表现的是____,胸胁胀痛,头痛眩晕,胸闷太息,月经不调,咽部异物感,B
下列各项，不属于肝阳上亢证表现的是____,眩晕耳鸣,面红目赤,急躁易怒,口苦口干,失眠多梦,D
常见手足蠕动症状的证候是____,肝阳上亢证,血虚生风证,阴虚动风证,热极生风证,肝阳化风证,C
少腹冷痛，前阴坠胀疼痛，舌淡脉沉紧，其证候是____,肝胃不和证,寒滞肝脉证,肾阳虚证,寒凝胃肠证,胃肠气滞证,B
头晕目眩，面白无华，视物模糊，舌淡脉细，其证候是____,肝血虚证,心血虚证,心肝血虚证,心脾气血虚证,肝阴虚证,A
辨肝病最常见的特征性症状是____,烦躁易怒,胁肋胀痛,口苦口干,头晕目眩,苔白脉弦,B
肺肾阴虚证的临床特征是____,头晕目眩，胸胁胀闷,干咳少痰，腰酸遗精,阴囊湿疹，外阴瘙痒,胁肋冷痛，声音嘶哑,形寒肢冷，舌淡脉弦,B
肝阳上亢证属于____,虚证,实证,热证,下虚上实证,里热证,D
经闭半年，伴见面色无华，头晕目眩，肌肉蠕动，舌淡脉细，最宜诊断为____,肝血虚证,心肝血虚证,肾精不足证,肝肾阴虚证,心脾两虚证,A
胃脘嘈杂，饥不欲食，口燥咽干，便干尿黄，舌红少津，脉细数，最宜诊断为____,胃热炽盛证,胃阴虚证,大肠热结证,肝火犯肺证,胃肠气滞证,B
咳喘，面白无华，乏力气短，纳少腹胀，咯痰清稀，舌淡脉弱，最宜诊断为____,寒痰阻肺证,脾肺气虚证,心肺气虚证,肺肾气虚证,肺气不足证,B
太阳蓄血证的主要临床特征是____,惊狂，坐卧不安,发狂，脐腹满痛,惊痫，时癒疚,如狂，少腹急结,身黄，脉沉结,D
少阳病不愈，传入厥阴的传变规律是____,循经传,越经传,表里传,逆经传,并经传,B
口苦，咽干，寒热往来，胸胁苦满，脉弦，其证候是____,太阳经证,太阳腑证,少阳病证,阳明经证,阳明腑证,C
少阴病人主要病理特征为____,心气衰弱,阴血不足,心肾虚衰,脾胃阳虚,肺肾两虚,C
少阴热化证的心烦不寐的病机是____,邪热内盛,肝阳上扰,水亏火旺,上热下寒,热结胃肠,C
下焦病症的病理实质是____,肾阳虚,肝阴虚,心阴虚,肝肾阴虚,心肾阳虚,D
伤寒两经或三经同时出现病证，称为____,循经传,越经传,合病,表里传,并病,C
卫分证的主要辨证依据是____,湿热蕴结,热盛伤津,肾气虚弱,肝郁犯脾,气虚失运,C
下列各项，不属于“诊法”的内容是____,望舌,辨证,切脉,闻声,问诊,B
大便秘结，发热腹痛属于____,热结肠道，热盛伤津,津液亏少，肠道失润,阴血不足，肠失濡润,气虚失运，传送无力,阳虚寒凝，气机滞塞,A
大便时干时稀属于____,脾气亏虚,肛门瘀血,肝郁脾虚,大肠湿热,肾虚命门火衰,C
厌恶食物，甚至视之恶心，恶闻食臭属于____,不欲食,纳少,纳呆,呃逆,厌食,E
白带中混有血液，赤白杂见属于____,肝经郁热,肾阳不足，阳不化水,气虚失运，传送无力,脾虚中气下陷,脾胃虚寒,A
